0001;C;;
0002;C;;
0003;X;;
0004;S;;
0005;M;;
0006;M;;
0007;C;;
0008;I;;
0009;P;;
0010;C;;
0011;X;;
0012;X;;
0013;C;;
0014;M;;
0015;I;;
0016;M;;
0017;X;;
0018;M;;
0019;I;;
0020;C;;
0021;C;;
0022;C;;
0023;C;;
0024;L;;
0025;I;;
0026;I;;
0027;X;;
0028;M;;
0029;M;;
0030;C;;
0031;C;;
0032;C;;
0033;C;;
0034;C;;
0035;C;;
0036;C;;
0037;C;;
0038;C;;
0039;C;;
0040;C;;
0041;C;;
0042;C;;
0043;X;;
0044;C;;
0045;C;;
0046;M;;
0047;X;;
0048;M;;
0049;M;;
0050;M;;
0051;M;;
0052;M;;
0053;P;;
0054;M;;
0055;M;;
0056;M;;
0057;M;;
0058;M;;
0059;M;;
0060;M;;
0061;M;;
0062;M;;
0063;M;;
0064;M;;
0065;M;;
0066;M;;
0067;M;;
0068;M;;
0069;M;;
0070;M;;
0071;I;;
0072;I;;
0073;I;;
0074;X;;
0075;I;;
0076;M;;
0077;M;;
0078;M;;
0079;I;;
0080;M;;
0081;I;;
0082;I;;
0083;I;;
0084;I;;
0085;I;;
0086;P;;
0087;M;;
0088;M;;
0089;X;;
0090;I;;
0091;I;;
0092;X;;
0093;X;;
0094;X;;
0095;I;;
0096;P;;
0097;X;;
0098;I;;
0099;I;;
0100;X;;
0101;X;;
0102;X;;
0103;I;;
0104;X;;
0105;X;;
0106;X;;
0107;X;;
0108;X;;
0109;X;;
0110;X;;
0111;X;;
0112;X;;
0113;X;;
0114;X;;
0115;X;;
0116;X;;
0117;X;;
0118;X;;
0119;P;;
0120;X;;
0121;X;;
0122;X;;
0123;P;;
0124;X;;
0125;X;;
0126;P;;
0127;X;;
0128;X;;
0129;X;;
0130;X;;
0131;X;;
0132;X;;
0133;I;;
0134;I;;
0135;I;;
0136;X;;
0137;I;;
0138;I;;
0139;I;;
0140;I;;
0141;X;;
0142;X;;
0143;I;;
0144;I;;
0145;I;;
0146;I;;
0147;I;;
0148;I;;
0149;X;;
0150;I;;
0151;I;;
0152;I;;
0153;I;;
0154;I;;
0155;I;;
0156;I;;
0157;I;;
0158;I;;
0159;P;;
0160;X;;
0161;I;;
0162;X;;
0163;I;;
0164;I;;
0165;I;;
0166;I;;
0167;I;;
0168;I;;
0169;I;;
0170;M;;
0171;P;;
0172;X;;
0173;M;;
0174;P;;
0175;M;;
0176;X;;
0177;P;;
0178;P;;
0179;M;;
0180;M;;
0181;M;;
0182;P;;
0183;X;;
0184;M;;
0185;M;;
0186;P;;
0187;P;;
0188;X;;
0189;P;;
0190;I;;
0191;N;;
0192;M;;
0193;M;;
0194;M;;
0195;S;;
0196;M;;
0197;M;;
0198;I;;
0199;M;;
0200;C;;
0201;M;;
0202;M;;
0203;P;;
0204;P;;
0205;P;;
0206;P;;
0207;X;;
0208;C;;
0209;X;;
0210;C;;
0211;X;;
0212;C;;
0213;C;;
0214;P;;
0215;C;;
0216;C;;
0217;C;;
0218;X;;
0219;I;;
0220;P;;
0221;C;;
0222;C;;
0223;C;;
0224;C;;
0225;C;;
0226;I;;
0227;I;;
0228;I;;
0229;X;;
0230;X;;
0231;X;;
0232;X;;
0233;X;;
0234;X;;
0235;X;;
0236;M;;
0237;X;;
0238;X;;
0239;X;;
0240;X;;
0241;X;;
0242;I;;
0243;M;;
0244;X;;
0245;M;;
0246;M;;
0247;P;;
0248;X;;
0249;M;;
0250;X;;
0251;X;;
0252;X;;
0253;X;;
0254;P;;
0255;M;;
0256;X;;
0257;M;;
0258;M;;
0259;X;;
0260;M;;
0261;M;;
0262;X;;
0263;M;;
0264;M;;
0265;M;;
0266;M;;
0267;P;;
0268;M;;
0269;X;;
0270;I;;
0271;I;;
0272;I;;
0273;X;;
0274;X;;
0275;X;;
0276;X;;
0277;P;;
0278;P;;
0279;C;;
0280;C;;
0281;P;;
0282;X;;
0283;X;;
0284;P;;
0285;C;;
0286;P;;
0287;M;;
0288;P;;
0289;P;;
0290;P;;
0291;N;;
0292;X;;
0293;P;;
0294;P;;
0295;P;;
0296;P;;
0297;P;;
0298;P;;
0299;C;;
0300;P;;
0301;M;;
0302;P;;
0303;M;;
0304;M;;
0305;P;;
0306;P;;
0307;X;;
0308;P;;
0309;P;;
0310;M;;
0311;M;;
0312;M;;
0313;M;;
0314;I;;
0315;P;;
